customer_id,customer_name,age,city,product_id,product_name,category,purchase_date,purchase_quantity,price_per_unit,total_spent,age_outlier_flag,purchase_quantity_outlier_flag,price_per_unit_outlier_flag,total_spent_outlier_flag
1,Ronald Miller,63.0,Wilsonstad,141,Granola,Vegetable,2024-10-21,1.0,13.33,13.33,0,0,0,0
2,Eric White,26.0,North Brianside,172,Organic Apples,Vegetable,2024-08-15,2.0,1.04,2.08,0,0,0,0
3,Joseph Wagner,59.0,Lake Derek,186,Granola,Dairy,2024-07-16,1.0,15.33,15.33,0,0,0,0
4,Elizabeth House,43.0,Cindyborough,110,Granola,Snack,2024-09-18,1.0,10.55,10.55,0,0,0,0
5,Shawn Warner,56.0,North Hannah,147,Fresh Milk,Snack,2024-10-09,1.0,12.25,12.25,0,0,0,0
6,Benjamin Neal,38.0,Lake Nicholasburgh,137,Organic Apples,Snack,2024-07-10,1.0,1.27,1.27,0,0,0,0
7,Danielle Hayden,41.0,South Meganborough,114,Kale,Organic,2024-05-09,4.0,17.78,71.12,0,0,0,0
8,William Lee,46.0,Ericabury,105,Kale,Snack,2024-07-25,1.0,14.81,14.81,0,0,0,0
9,Steven Brown,25.0,Nicoleview,162,Tofu,Snack,2024-08-09,4.0,14.42,57.68,0,0,0,0
10,Heidi Brown,75.0,East Mariaborough,106,Fresh Milk,Dairy,2024-07-28,1.0,16.14,16.14,0,0,0,0
11,Patrick Snyder,73.0,South Christopher,129,Granola,Organic,2024-08-21,3.0,15.95,47.85,0,0,0,0
12,Brenda Reed,38.0,Lake Joshua,129,Kale,Vegetable,2024-05-10,3.0,5.48,16.44,0,0,0,0
13,Daniel Hawkins,64.0,Liview,191,Almond Butter,Organic,2024-01-26,3.0,5.12,15.36,0,0,0,0
14,Melissa Barnes,25.0,North Felicialand,164,Almond Butter,Dairy,2024-11-01,4.0,13.51,54.04,0,0,0,0
15,Unknown Customer,48.0,Unknown,151,Tofu,Vegetable,,,13.6,,0,0,0,0
16,Cynthia Lewis,60.0,West Ricardo,100,Kale,Dairy,2024-03-20,3.0,10.74,32.22,0,0,0,0
17,Michael Callahan,54.0,Vargasmouth,100,Organic Apples,Organic,2024-06-13,3.0,12.63,37.89,0,0,0,0
18,Megan Charles,34.0,Richardville,140,Organic Apples,Dairy,2024-05-25,2.0,8.12,16.24,0,0,0,0
19,Mrs. Emily Murphy,27.0,Michaelmouth,172,Almond Butter,Dairy,2024-02-27,2.0,19.5,39.0,0,0,0,0
20,William Smith,24.0,Lukeland,127,Tofu,Organic,2024-03-27,2.0,1.12,2.24,0,0,0,0
21,Mr. Cody Haynes,30.0,Jasonport,101,Kale,Snack,2024-05-25,1.0,482.05,482.05,0,0,1,1
22,Kaitlin Munoz,79.0,Port Williamport,118,Fresh Milk,Snack,2024-07-04,3.0,17.68,53.04,0,0,0,0
23,Matthew Rodriguez,23.0,Nataliefort,152,Almond Butter,Vegetable,2024-03-03,1.0,12.49,12.49,0,0,0,0
24,Steven Fitzgerald,75.0,Catherineburgh,129,Fresh Milk,Vegetable,2024-07-26,3.0,19.27,57.81,0,0,0,0
25,Henry Evans,55.0,Tanyaton,160,Organic Apples,Dairy,2024-08-05,1.0,13.58,13.58,0,0,0,0
26,Geoffrey Owens,64.0,Robertsshire,185,Fresh Milk,Vegetable,2024-01-15,3.0,9.59,28.77,0,0,0,0
27,Lawrence Brown,67.0,South Michaelton,190,Fresh Milk,Snack,2024-09-15,2.0,16.3,32.6,0,0,0,0
28,Robert Everett,25.0,Lakp Brian,160,Tofu,Vegetable,2024-06-16,4.0,3.35,13.4,0,0,0,0
29,George Jimenez,66.0,Johnsonshire,181,Tofu,Organic,2024-03-23,4.0,16.8,67.2,0,0,0,0
30,Donna Williams,44.0,Lewisfort,133,Kale,Snack,2024-03-11,4.0,11.74,46.96,0,0,0,0
31,Stephanie Allen,50.0,South Andrew,183,Almond Butter,Snack,2024-01-10,1.0,12.9,12.9,0,0,0,0
32,Jonathan Mcmahon,25.0,South Jenniferfurt,163,Fresh Milk,Dairy,2024-05-18,3.0,10.57,31.71,0,0,0,0
33,Beverly Knight,76.0,Lake Nicolechester,192,Granola,Vegetable,2024-04-23,3.0,18.9,56.7,0,0,0,0
34,Carrie Pena,19.0,Turnerborough,107,Tofu,Snack,2024-10-01,2.0,4.51,9.02,0,0,0,0
35,Brenda Arroyo,53.0,Pamelaport,189,Fresh Milk,Organic,2024-05-04,4.0,10.14,40.56,0,0,0,0
36,Robert Thomas,65.0,New Rachelmouth,170,Organic Apples,Dairy,2024-08-23,2.0,17.92,35.84,0,0,0,0
37,Thomas Jackson,28.0,East Cynthia,187,Almond Butter,Dairy,2024-09-20,2.0,16.0,32.0,0,0,0,0
38,Unknown Customer,48.0,Unknown,148,Fresh Milk,Vegetable,,,9.19,,0,0,0,0
39,Travis West,31.0,East Rachel,106,Kale,Dairy,2024-04-02,3.0,7.58,22.74,0,0,0,0
40,Michael Byrd,28.0,West Brian,157,Granola,Dairy,2024-09-09,4.0,12.62,50.48,0,0,0,0
41,James Palmer,40.0,Lake Susan,147,Organic Apples,Vegetable,2024-04-21,4.0,19.68,78.72,0,0,0,0
